cld,cld_360smth,cld_anm360,cld_21smth,cld_anm21,CRF,CRF_21smth,CRF_21anm
60.70330,60.21913,0.48417,61.40014,-0.69684,-3.67457,-3.62596,-0.04861
61.38090,60.22062,1.16028,61.35714,0.02376,-3.85858,-3.60284,-0.25574
61.23550,60.22287,1.01263,61.43509,-0.19959,-3.53226,-3.51728,-0.01498
61.21210,60.22521,0.98689,61.51861,-0.30651,-3.37460,-3.46268,0.08808
61.86790,60.22469,1.64321,61.34975,0.51815,-2.98160,-3.42091,0.43931
60.71760,60.22399,0.49361,61.27234,-0.55474,-2.58947,-3.38369,0.79421
61.12060,60.21473,0.90587,61.23775,-0.11715,-2.70752,-3.37293,0.66542
60.70270,60.20288,0.49982,61.26042,-0.55772,-3.11797,-3.38417,0.26620
60.96030,60.18774,0.77256,61.32909,-0.36879,-3.11872,-3.34765,0.22893
61.15550,60.17283,0.98267,61.32488,-0.16938,-2.80455,-3.32120,0.51665
60.43000,60.16394,0.26606,61.31804,-0.88804,-2.82314,-3.36907,0.54593
60.29580,60.16347,0.13233,61.23341,-0.93761,-2.35834,-3.44510,1.08676
60.57060,60.16467,0.40593,61.17285,-0.60225,-2.29218,-3.53076,1.23858
61.63430,60.16923,1.46507,61.11322,0.52108,-3.10297,-3.60743,0.50446
61.26340,60.17221,1.09119,61.02766,0.23574,-3.08998,-3.65264,0.56266
61.35730,60.17653,1.18077,60.97573,0.38157,-4.05140,-3.70190,-0.34950
61.54880,60.17519,1.37361,60.93694,0.61186,-4.81446,-3.78788,-1.02658
61.72270,60.16578,1.55692,60.87900,0.84370,-5.29036,-3.89583,-1.39453
62.46110,60.15733,2.30377,60.80568,1.65542,-3.53135,-3.96086,0.42951
63.46500,60.15457,3.31043,60.76352,2.70148,-3.29311,-3.99998,0.70686
62.01700,60.14988,1.86712,60.73585,1.28115,-4.34341,-4.03554,-0.30786
60.55970,60.13935,0.42035,60.70029,-0.14059,-5.27115,-4.10881,-1.16234
59.60370,60.12153,-0.51783,60.66081,-1.05711,-5.65733,-4.19380,-1.46353
59.96380,60.11153,-0.14773,60.56706,-0.60326,-5.14246,-4.27560,-0.86685
59.95980,60.10784,-0.14804,60.51510,-0.55530,-4.32397,-4.31219,-0.01178
60.07110,60.10892,-0.03782,60.51642,-0.44532,-4.01606,-4.31018,0.29411
59.62710,60.10874,-0.48164,60.42273,-0.79563,-4.39505,-4.25093,-0.14412
60.30600,60.11145,0.19455,60.29490,0.01110,-4.97453,-4.17471,-0.79982
59.48600,60.10944,-0.62344,60.17470,-0.68870,-4.48363,-4.07272,-0.41091
59.42050,60.10646,-0.68596,60.06875,-0.64825,-3.94004,-4.07551,0.13546
60.27020,60.10128,0.16892,60.02867,0.24153,-3.55150,-4.09271,0.54121
59.84900,60.09856,-0.24956,60.05722,-0.20822,-4.36169,-4.08051,-0.28117
59.54900,60.09090,-0.54190,60.15820,-0.60920,-4.14314,-4.04311,-0.10003
59.74150,60.08824,-0.34674,60.22731,-0.48581,-4.01008,-3.98601,-0.02407
59.66560,60.08424,-0.41864,60.27556,-0.60996,-3.87133,-3.92135,0.05002
60.17230,60.08091,0.09139,60.25120,-0.07890,-3.04768,-3.87448,0.82680
61.38490,60.07273,1.31217,60.20125,1.18365,-2.80713,-3.83690,1.02977
59.58140,60.06093,-0.47953,60.09259,-0.51119,-3.21386,-3.78444,0.57058
59.03810,60.04974,-1.01164,60.04887,-1.01077,-3.14871,-3.69085,0.54214
59.93710,60.03848,-0.10138,60.04328,-0.10618,-3.58980,-3.62389,0.03409
